receipt_no;store_code;cashier_id;sale_datetime;sku;qty;unit_price;discount_pct;payment_type
R-0034407;ST-002;E-0108;14.01.2026 13:33;SKU-00078;1;107900,00;;CASH
R-0034587;ST-010;E-0150;2026-01-14 15:59:30;SKU-00445;5;37300,00;10;CARD
R-0034603;ST-010;E-0149;2026-01-14 11:04:25;SKU-00176;1;63400,00;0;CASH
R-0034559;ST-008;E-0138;14.01.2026 19:47;SKU-00076;3;55600,00;20;CARD
R-0034554;ST-008;E-0144;2026-01-14 20:46:22;SKU-00337;2;28600.00;10;CARD
R-0034600;ST-010;E-0149;14.01.2026 09:07;SKU-00257;2;108800,00;;TRANSFER
R-0034601;ST-010;E-0148;14.01.2026 18:20;SKU-00088;1;130200,00;5;CASH
R-0034630;ST-011;E-0153;14.01.2026 17:22;SKU-00113;2;128000,00;;CASH
R-0034634;ST-011;E-0153;2026-01-14 14:31:36;SKU-00002;8;107840,00;10;CASH
R-0034493;ST-006;E-0128;14.01.2026 19:26; sku-00120 ;8;137600,00;;CASH
R-0034430;ST-003;E-0115;14.01.2026 19:37;SKU-00353;4;43800,00;10;CARD
R-0034514;ST-007;E-0133;2026-01-14 13:26:35;SKU-00147;3;75400,00;;CARD
R-0034465;ST-005;E-0123;14.01.2026 19:14;SKU-00014;1;15100,00;;CASH
R-0034516;ST-007;E-0133;2026-01-14 09:10:19;SKU-00123;1;87500.00;;CARD
R-0034413;ST-002;E-0110;14.01.2026 16:44;SKU-00353;1;43800,00;;CASH
R-0034590;ST-010;E-0149;2026-01-14 15:54:06;SKU-00467;1;63500,00;;CARD
R-0034639;ST-011;E-0155;14.01.2026 19:02;SKU-00117;2;70200,00;0;CARD
R-0034457;ST-004;E-0119;14.01.2026 13:28;SKU-00005;1;;0;CARD
R-0034393;ST-001;E-0104;14.01.2026 09:47;SKU-00167;1;97900,00;15;CARD
R-0034569;ST-009;E-0144;14.01.2026 13:03;SKU-00216;1;19000,00;0;CASH
R-0034430;ST-003;E-0115;14.01.2026 19:37;SKU-00195;1;37000,00;5;CARD
R-0034479;ST-005;E-0125;2026-01-14 19:28:10;SKU-00065;5;27400.00;10;TRANSFER
R-0034474;ST-005;E-0124;2026-01-14 09:42:38;SKU-00327;1;34240,00;;CARD
R-0034649;ST-012;E-0158;2026-01-14 15:55:00;SKU-00444;1;81200,00;0;TRANSFER
R-0034655;ST-012;E-0159;14.01.2026 20:24;SKU-00493;2;5200,00;0;CASH
R-0034602;ST-010;E-0148;14.01.2026 09:09;SKU-00289;1;16500,00;;CARD
R-0034516;ST-007;E-0133;2026-01-14 09:10:19;SKU-00391;3;63100,00;20;CARD
R-0034398;ST-002;E-0110;14.01.2026 13:41;SKU-00303;4;151000,00;0;CASH
R-0034539;ST-008;E-0138;14.01.2026 10:52;SKU-00431;5;27100,00;5;CARD
R-0034572;ST-009;E-0145;14.01.2026 18:46;SKU-00470;3;51200,00;;CASH
R-0034555;ST-008;E-0139;14.01.2026 16:52;SKU-00391;2;63100,00;;CARD
R-0034610;ST-010;E-0150;14.01.2026 18:36;SKU-00255;2;;;CASH
R-0034390;ST-001;E-0104;2026-01-14 15:20:09; sku-00201 ;2;40200,00;15;TRANSFER
R-0034661;ST-012;E-0158;14.01.2026 16:01;SKU-00281;1;39500,00;;CASH
R-0034651;ST-012;E-0159;2026-01-14 10:02:23;SKU-00110;8;22700,00;10;CARD
R-0034545;ST-008;E-0138;14.01.2026 17:30;SKU-00184;2;21800,00;;CASH
R-0034404;ST-002;E-0108;14.01.2026 13:47;SKU-00152;1;74000,00;0;TRANSFER
R-0034412;ST-002;E-0109;2026-01-14 17:15:42;SKU-00126;3;47700,00;10;CASH
R-0034529;ST-007;E-0134;14.01.2026 10:28;SKU-00345;4;68600,00;0;CARD
R-0034468;ST-005;E-0124;14.01.2026 09:09;SKU-00012;4;82800,00;;CARD
R-0034384;ST-001;E-0103;14.01.2026 16:21;SKU-00275;4;52400,00;10;CASH
R-0034611;ST-010;E-0148;14.01.2026 18:55;SKU-00116;1;28900,00;;TRANSFER
R-0034644;ST-011;E-0153;14.01.2026 19:48;SKU-00286;8;86000,00;10;CARD
R-0034473;ST-005;E-0123;14.01.2026 12:21;SKU-00303;3;151000,00;10;CASH
R-0034596;ST-010;E-0148;14.01.2026 20:04;SKU-00446;2;164600,00;;CASH
R-0034604;ST-010;E-0148;14.01.2026 12:42;SKU-00496;1;97800,00;10;CASH
R-0034652;ST-012;E-0160;2026-01-14 19:13:25;SKU-00321;2;125800,00;0;CASH
R-0034387;ST-001;E-0105;14.01.2026 13:37;SKU-00158;1;138500,00;;CASH
R-0034528;ST-007;E-0134;14.01.2026 20:04;SKU-00302;4;168100,00;0;CASH
R-0034563;ST-009;E-0145;2026-01-14 17:41:43;SKU-00333;1;52300.00;0;CASH
R-0034520;ST-007;E-0133;2026-01-14 12:06:35;SKU-00399;1;51900,00;;CASH
R-0034385;ST-001;E-0105;2026-01-14 10:43:09;SKU-00362;1;35200,00;10;CASH
R-0034548;ST-008;E-0140;14.01.2026 18:08;SKU-00403;3;89500,00;5;CASH
R-0034459;ST-004;E-0118;14.01.2026 19:38;SKU-00214;1;35400.00;;TRANSFER
R-0034601;ST-010;E-0148;14.01.2026 18:20;SKU-00199;1;23300,00;;CASH
R-0034619;ST-011;E-0153;14.01.2026 18:16;SKU-00336;3;69900,00;0;CARD
R-0034538;ST-008;E-0138;2026-01-14 16:24:47;SKU-00191;1;38600,00;0;CARD
R-0034453;ST-004;E-0120;2026-01-14 11:00:51;SKU-00203;2;39500,00;;CARD
R-0034429;ST-003;E-0114;2026-01-14 15:34:41;SKU-00316;1;103700,00;5;CARD
R-0034449;ST-004;E-0119;14.01.2026 18:06;SKU-00300;1;58000,00;0;CARD
R-0034543;ST-008;E-0140;14.01.2026 14:42;SKU-00408;1;40000,00;;CARD
R-0034631;ST-011;E-0154;2026-01-14 16:41:06;SKU-00014;1;15100,00;0;CASH
R-0034400;ST-002;E-0110;14.01.2026 16:29;SKU-00040;2;57700,00;;CASH
R-0034424;ST-003;E-0115;14.01.2026 19:10;SKU-00174;2;60700,00;0;CASH
R-0034472;ST-005;E-0125;2026-01-14 11:01:03;SKU-00446;1;164600,00;;CARD
R-0034534;ST-008;E-0138;14.01.2026 19:02;SKU-00242;1;173300,00;0;CASH
R-0034556;ST-008;E-0139;14.01.2026 09:02;SKU-00422;4;45200,00;5;CARD
R-0034647;ST-012;E-0158;14.01.2026 09:22;SKU-00053;4;38200.00;10;CASH
R-0034508;ST-006;E-0128;14.01.2026 12:42;SKU-00463;1;160100,00;5;CASH
R-0034455;ST-004;E-0119;14.01.2026 16:40;SKU-00254;1;118300,00;20;TRANSFER
R-0034544;ST-008;E-0139;14.01.2026 15:57;SKU-00053;1;38200,00;;CASH
R-0034418;ST-003;E-0114;2026-01-14 13:54:39;SKU-00422;1;45200,00;;CARD
R-0034465;ST-005;E-0123;14.01.2026 19:14;SKU-00079;1;61300,00;0;CASH
R-0034392;ST-001;E-0103;14.01.2026 20:39;SKU-00293;2;74200,00;;CARD
R-0034615;ST-010;E-0149;14.01.2026 14:09;SKU-00382;1;;10;CASH
R-0034400;ST-002;E-0110;14.01.2026 16:29;SKU-00143;3;17400,00;;CASH
R-0034662;ST-012;E-0160;14.01.2026 14:03;SKU-00178;1;59900,00;20;CARD
R-0034442;ST-004;E-0118;2026-01-14 16:46:28;SKU-00269;3;47200,00;0;TRANSFER
R-0034628;ST-011;E-0153;14.01.2026 12:13;SKU-00093;1;103800,00;;CARD
R-0034542;ST-008;E-0138;14.01.2026 17:16;SKU-00106;2;113000,00;;CARD
R-0034549;ST-008;E-0140;2026-01-14 16:14:57;SKU-00075;3;;5;CARD
R-0034538;ST-008;E-0138;14.01.2026 16:24;SKU-00365;8;64200,00;;CARD
R-0034418;ST-003;E-0114;14.01.2026 13:54;SKU-00056;1;39700,00;0;CARD
R-0034555;ST-008;E-0139;14.01.2026 16:52;SKU-00027;1;100600,00;0;CARD
R-0034512;ST-007;E-0135;14.01.2026 19:46;SKU-00412;2;64400,00;10;CARD
R-0034485;ST-006;E-0128;14.01.2026 19:05;SKU-00106;1;113000,00;;CARD
R-0034526;ST-007;E-0135;14.01.2026 16:06;SKU-00178;4;59900,00;;CASH
R-0034494;ST-006;E-0129;14.01.2026 13:15;SKU-00272;1;34900,00;;CASH
R-0034571;ST-009;E-0144;14.01.2026 14:27;SKU-00329;1;15000,00;;CASH
R-0034413;ST-002;E-0110;14.01.2026 16:44;SKU-00076;2;55600,00;;CASH
R-0034607;ST-010;E-0150;14.01.2026 11:43;SKU-00191;4;38600,00;;CASH
R-0034634;ST-011;E-0153;14.01.2026 14:31;SKU-00233;2;123300,00;15;CASH
R-0034531;ST-008;E-0140;14.01.2026 15:24;SKU-00064;8;22200,00;0;CARD
R-0034386;ST-001;E-0104;2026-01-14 09:07:49;SKU-00419;3;75200,00;;CASH
R-0034534;ST-008;E-0138;2026-01-14 19:02:02;SKU-00034;1;141400,00;0;CASH
R-0034533;ST-008;E-0138;14.01.2026 14:16;SKU-00043;3;98200,00;;CASH
