receipt_no;store_code;cashier_id;sale_datetime;sku;qty;unit_price;discount_pct;payment_type
R-0032694;ST-003;E-0115;09.01.2026 15:48;SKU-00432;1;78300,00;0;CARD
R-0032833;ST-009;E-0145;09.01.2026 13:37;SKU-00001;1;18000,00;10;CARD
R-0032886;ST-011;E-0154;2026-01-09 13:49:07;SKU-00397;5;5300,00;0;CARD
R-0032689;ST-003;E-0114;09.01.2026 11:20;SKU-00415;1;87600,00;;CASH
R-0032676;ST-002;E-0108;09.01.2026 17:30;SKU-00114;2;74300,00;;CASH
R-0032887;ST-011;E-0153;09.01.2026 19:07;SKU-00443;3;76400,00;0;CASH
R-0032772;ST-006;E-0130;09.01.2026 09:58;SKU-00286;8;86000,00;0;CARD
R-0032797;ST-007;E-0134;2026-01-09 10:45:19;SKU-00177;2;99700,00;;CASH
R-0032858;ST-009;E-0144;09.01.2026 20:09;SKU-00283;1;;15;CASH
R-0032787;ST-007;E-0134;09.01.2026 14:57;SKU-00300;1;58000,00;0;CASH
R-0032850;ST-009;E-0145;2026-01-09 11:15:23;SKU-00473;1;62200,00;;CARD
R-0032855;ST-009;E-0145;2026-01-09 14:14:09;SKU-00258;8;58200,00;0;CASH
R-0032775;ST-006;E-0130;09.01.2026 20:03;SKU-00386;8;10600,00;0;CARD
R-0032785;ST-007;E-0135;2026-01-09 14:58:42;SKU-00015;1;13700,00;;CARD
R-0032808;ST-007;E-0134;09.01.2026 11:53;SKU-00011;4;24500,00;0;CARD
R-0032627;ST-001;E-0104;2026-01-09 11:44:22;SKU-00456;2;110300,00;;CASH
R-0032872;ST-010;E-0149;09.01.2026 20:39;SKU-00356;3;76500,00;0;CASH
R-0032781;ST-006;E-0129;09.01.2026 18:02;SKU-00224;1;27800.00;;CARD
R-0032699;ST-003;E-0114;2026-01-09 18:15:08;SKU-00070;1;20600,00;10;CASH
R-0032794;ST-007;E-0134;2026-01-09 20:16:46;SKU-00215;1;34800,00;;CARD
R-0032844;ST-009;E-0144;09.01.2026 19:56;SKU-00216;0;19000,00;10;CASH
R-0032627;ST-001;E-0104;2026-01-09 11:44:22;SKU-00470;1;51200,00;0;CASH
R-0032646;ST-001;E-0158;2026-01-09 09:46:58;SKU-00017;1;164600,00;5;CARD
R-0032910;ST-012;E-0160;2026-01-09 10:53:14;SKU-00412;2;64400,00;10;CASH
