receipt_no;store_code;cashier_id;sale_datetime;sku;qty;unit_price;discount_pct;payment_type
R-0041415;ST-004;E-0118;04.02.2026 17:56;SKU-00012;1;82800,00;;CASH
R-0041369;ST-002;E-0109;04.02.2026 17:58;SKU-00206;1;16700.00;;CARD
R-0041416;ST-004;E-0118;04.02.2026 19:26;SKU-00035;1;53500,00;;CASH
R-0041601;ST-011;E-0154;04.02.2026 09:58;SKU-00076;3;55600,00;0;CARD
R-0041548;ST-009;E-0145;2026-02-04 20:23:15;SKU-00096;2;68900,00;10;TRANSFER
R-0041629;ST-012;E-0160;2026-02-04 19:25:22;SKU-00472;2;62700.00;0;CASH
R-0041481;ST-006;E-0129;2026-02-04 11:48:34;SKU-00287;5;51100,00;0;CASH
R-0041543;ST-008;E-0140;04.02.2026 20:42;SKU-00361;1;33800,00;0;CASH
R-0041594;ST-011;E-0153;04.02.2026 11:15;SKU-00279;-1;;;CARD
R-0041551;ST-009;E-0145;2026-02-04 15:28:48;SKU-00227;8;41500,00;;CARD
R-0041379;ST-002;E-0108;2026-02-04 17:41:37;SKU-00014;1;15100,00;15;CASH
R-0041610;ST-011;E-0154;2026-02-04 16:11:50;SKU-00448;5;172400.00;;CARD
R-0041345;ST-001;E-0104;04.02.2026 12:31;SKU-00233;5;123300,00;0;CASH
R-0041524;ST-007;E-0134;04.02.2026 09:53;SKU-00282;5;28900,00;5;TRANSFER
R-0041400;ST-003;E-0114;04.02.2026 17:33;SKU-00404;2;77200,00;;TRANSFER
R-0041543;ST-008;E-0140;04.02.2026 20:42;SKU-00423;1;118800,00;15;CASH
R-0041434;ST-004;E-0120;04.02.2026 18:24;SKU-00261;2;26800.00;0;CASH
R-0041600;ST-011;E-0154;04.02.2026 12:09;SKU-00417;2;16900.00;0;CASH
R-0041557;ST-009;E-0145;2026-02-04 16:23:02;SKU-00382;1;75300,00;;CARD
R-0041371;ST-002;E-0110;04.02.2026 14:51;SKU-00298;3;94200,00;0;CARD
R-0041446;ST-005;E-0125;04.02.2026 11:28;SKU-00319;4;102500,00;0;CASH
R-0041325;ST-001;E-0103;2026-02-04 12:11:58; sku-00219 ;8;40500,00;;CARD
R-0041397;ST-003;E-0113;2026-02-04 11:48:04;SKU-00207;1;24300,00;;CARD
R-0041428;ST-004;E-0120;04.02.2026 09:55;SKU-00220;1;40000,00;20;CASH
R-0041586;ST-010;E-0149;2026-02-04 16:47:33;SKU-00048;1;22700,00;;CASH
R-0041438;ST-005;E-0123;04.02.2026 20:27;SKU-00424;1;91800,00;15;CARD
R-0041392;ST-003;E-0113;2026-02-04 09:59:29;SKU-00199;1;23300,00;;CASH
R-0041610;ST-011;E-0154;04.02.2026 16:11;SKU-00083;4;51500,00;;CARD
R-0041583;ST-010;E-0148;2026-02-04 12:47:28;SKU-00364;1;55000,00;0;CASH
R-0041354;ST-001;E-0103;04.02.2026 19:20;SKU-00135;1;28300,00;;CARD
R-0041477;ST-006;E-0130;04.02.2026 12:02;SKU-00069;1;79600,00;;CASH
