receipt_no;store_code;cashier_id;sale_datetime;sku;qty;unit_price;discount_pct;payment_type
R-0033321;ST-012;E-0158;10.01.2026 09:23; sku-00131 ;1;142400,00;;CASH
R-0032931;ST-001;E-0105;10.01.2026 20:32;SKU-00070;1;20600,00;5;CARD
R-0032950;ST-001;E-0105;10.01.2026 09:42;SKU-00244;1;99700,00;;CARD
R-0033035;ST-004;E-0120;10.01.2026 19:37;SKU-00262;4;32800.00;;CASH
R-0032985;ST-002;E-0110;10.01.2026 17:36;SKU-00028;1;60100,00;10;CARD
R-0033064;ST-004;E-0119;10.01.2026 14:38;SKU-00441;2;114000,00;;CASH
R-0033128;ST-006;E-0129;10.01.2026 09:56;SKU-00011;1;24500,00;;CASH
R-0033310;ST-012;E-0158;10.01.2026 09:23;SKU-00091;1;-;5;CARD
R-0033218;ST-009;E-0144;10.01.2026 17:22;SKU-00141;1;60300,00;;CASH
R-0033065;ST-004;E-0118;2026-01-10 20:55:55;SKU-00219;1;40500.00;10;CASH
R-0032945;ST-001;E-0104;10.01.2026 13:16;SKU-00231;2;89700,00;15;TRANSFER
R-0033132;ST-006;E-0129;10.01.2026 14:53;SKU-00214;1;35400,00;5;CASH
R-0032927;ST-001;E-0103;10.01.2026 15:58;SKU-00437;4;48300,00;;CASH
R-0033142;ST-006;E-0129;2026-01-10 15:51:10;SKU-00411;1;58900,00;20;CASH
R-0033139;ST-006;E-0129;10.01.2026 20:41;SKU-00330;5;55100,00;;CASH
R-0033288;ST-011;E-0154;10.01.2026 17:27;SKU-00235;4;16800,00;;CASH
R-0033164;ST-007;E-0133;10.01.2026 20:57;SKU-00025;1;21600,00;;CARD
R-0033008;ST-003;E-0113;10.01.2026 17:53;SKU-00391;1;63100,00;0;CARD
R-0033314;ST-012;E-0160;2026-01-10 16:11:41;SKU-00229;2;;10;CARD
R-0032970;ST-002;E-0109;10.01.2026 19:49;SKU-00380;-1;50000,00;;CASH
R-0033111;ST-006;E-0129;10.01.2026 20:11;SKU-00272;1;34900,00;10;TRANSFER
R-0033225;ST-009;E-0144;2026-01-10 15:43:12;SKU-00364;8;55000,00;;CASH
R-0032995;ST-002;E-0109;2026-01-10 15:24:51;SKU-00481;1;85800,00;0;CARD
R-0032948;ST-001;E-0105;2026-01-10 09:35:05;SKU-00179;1;108100,00;;CARD
R-0033264;ST-010;E-0150;2026-01-10 19:47:34;SKU-00384;1;29900,00;0;TRANSFER
R-0033173;ST-008;E-0140;10.01.2026 15:36;SKU-00425;1;88600,00;5;CASH
R-0032968;ST-002;E-0108;2026-01-10 16:03:34;SKU-00486;1;47900,00;10;CASH
R-0033030;ST-003;E-0115;2026-01-10 12:31:39;SKU-00081;3;86300,00;5;CARD
R-0033212;ST-009;E-0144;10.01.2026 14:01;SKU-00391;2;63100,00;0;TRANSFER
R-0033058;ST-004;E-0119;10.01.2026 20:59;SKU-00012;1;82800,00;;CASH
R-0032929;ST-001;E-0144;10.01.2026 12:32;SKU-00337;4;28600,00;;CASH
R-0033208;ST-009;E-0144;10.01.2026 10:46;SKU-00109;1;45500,00;;CARD
R-0033139;ST-006;E-0129;10.01.2026 20:41;SKU-00371;3;87800,00;;CASH
R-0033226;ST-009;E-0144;10.01.2026 18:20;SKU-00471;3;85000,00;;CARD
R-0033093;ST-005;E-0123;10.01.2026 11:03;SKU-00017;3;164600,00;5;CASH
R-0033188;ST-008;E-0138;2026-01-10 12:05:28;SKU-00153;4;146600,00;0;CARD
R-0033027;ST-003;E-0115;10.01.2026 12:20;SKU-00190;4;37600,00;10;CASH
R-0033245;ST-009;E-0144;10.01.2026 16:57;SKU-00387;1;66700,00;;CARD
R-0033235;ST-009;E-0144;10.01.2026 16:07;SKU-00375;4;61300,00;15;CASH
R-0032955;ST-001;E-0104;10.01.2026 20:43;SKU-00087;1;90700,00;20;CARD
R-0032932;ST-001;E-0103;10.01.2026 18:26;SKU-00431;5;27100,00;0;CARD
R-0033326;ST-012;E-0160;10.01.2026 10:00;SKU-00342;1;22000,00;;CARD
R-0033220;ST-009;E-0144;10.01.2026 20:03;SKU-00087;1;90700,00;5;CARD
R-0032994;ST-002;E-0109;10.01.2026 18:23;SKU-00096;1;68900,00;;CASH
R-0033093;ST-005;E-0123;10.01.2026 11:03;SKU-00067;4;14700,00;20;CASH
R-0032946;ST-001;E-0104;10.01.2026 10:41;SKU-00138;1;61200,00;5;CASH
R-0033212;ST-009;E-0144;10.01.2026 14:01;SKU-00367;3;11700,00;;TRANSFER
R-0033336;ST-012;E-0159;10.01.2026 10:24;SKU-00282;1;28900,00;10;CASH
R-0033264;ST-010;E-0150;2026-01-10 19:47:34;SKU-00494;1;54100,00;;TRANSFER
R-0033018;ST-003;E-0114;2026-01-10 16:25:24;SKU-00132;2;67900,00;0;CASH
