receipt_no;store_code;cashier_id;sale_datetime;sku;qty;unit_price;discount_pct;payment_type
R-0038154;ST-005;E-0123;25.01.2026 17:18;SKU-00371;5;87800,00;5;CARD
R-0038338;ST-010;E-0150;2026-01-25 12:01:12;SKU-00027;1;100600,00;;CARD
R-0038269;ST-008;E-0140;25.01.2026 12:40;SKU-00313;3;151900,00;;CASH
R-0038013;ST-001;E-0104;25.01.2026 10:41; sku-00062 ;4;62600,00;;CASH
R-0038406;ST-012;E-0158;25.01.2026 14:06;SKU-00462;2;42300,00;;CARD
R-0038039;ST-002;E-0108;25.01.2026 17:07;SKU-00090;2;112400,00;;CARD
R-0038308;ST-009;E-0144;25.01.2026 11:23;SKU-00166;4;31700,00;;CASH
R-0038258;ST-008;E-0139;25.01.2026 14:03;SKU-00362;1;35200,00;;CASH
R-0038152;ST-005;E-0123;25.01.2026 17:12;SKU-00248;3;123000,00;5;CARD
R-0038095;ST-003;E-0114;2026-01-25 14:55:06;SKU-00050;1;41200,00;;CARD
R-0038092;ST-003;E-0113;25.01.2026 10:28;SKU-00235;1;16800,00;;CARD
R-0038366;ST-011;E-0153;2026-01-25 18:23:07;SKU-00243;3;176700,00;;CARD
R-0038090;ST-003;E-0115;2026-01-25 10:23:06;SKU-00451;1;134200,00;0;CARD
R-0038360;ST-011;E-0155;25.01.2026 17:00;SKU-00353;1;43800,00;20;CASH
R-0038141;ST-005;E-0125;25.01.2026 13:36;SKU-00497;1;38000,00;;CASH
R-0038394;ST-012;E-0158;25.01.2026 09:38;SKU-00283;3;71900,00;;CARD
R-0038086;ST-003;E-0114;25.01.2026 19:37;SKU-00082;1;115800,00;;CASH
R-0037998;ST-001;E-0103;25.01.2026 17:04;SKU-00316;1;103700,00;0;CARD
R-0038293;ST-009;E-0145;25.01.2026 18:44;SKU-00117;3;70200,00;;CASH
R-0038083;ST-003;E-0114;2026-01-25 16:21:33;SKU-00324;2;145400,00;;CASH
R-0038390;ST-012;E-0160;25.01.2026 11:16;SKU-00442;1;131000.00;;CASH
R-0038165;ST-005;E-0125;25.01.2026 15:02;SKU-00313;1;151900,00;5;CARD
R-0038190;ST-006;E-0129;25.01.2026 09:56;SKU-00071;2;23100,00;15;CASH
R-0038378;ST-011;E-0154;25.01.2026 15:49;SKU-00061;1;;0;CASH
R-0038055;ST-002;E-0108;25.01.2026 19:14;SKU-00485;2;9500,00;;TRANSFER
R-0038119;ST-004;E-0119;25.01.2026 17:09;SKU-00448;1;172400,00;;CASH
R-0038114;ST-004;E-0118;2026-01-25 18:41:25;SKU-00449;3;n/a;;CASH
R-0038126;ST-004;E-0118;2026-01-25 13:50:19;SKU-00433;4;84800,00;5;TRANSFER
R-0038300;ST-009;E-0145;25.01.2026 11:04;SKU-00049;8;30700,00;10;CASH
R-0038112;ST-004;E-0120;2026-01-25 18:10:24;SKU-00413;2;84100,00;0;CARD
R-0038296;ST-009;E-0145;25.01.2026 18:39;SKU-00111;1;57700,00;5;CASH
R-0038301;ST-009;E-0145;25.01.2026 18:31;SKU-00348;1;5000,00;;CASH
R-0038283;ST-009;E-0145;2026-01-25 12:01:15;SKU-00097;4;38400,00;;CARD
R-0038165;ST-005;E-0125;25.01.2026 15:02;SKU-00021;1;81900,00;;CARD
R-0038357;ST-011;E-0154;25.01.2026 19:46;SKU-00381;3;6200,00;;CARD
R-0038265;ST-008;E-0139;2026-01-25 12:53:00;SKU-00057;8;6100,00;0;CASH
R-0038050;ST-002;E-0110;25.01.2026 15:26;SKU-00466;1;10700,00;;CARD
R-0038130;ST-004;E-0119;2026-01-25 11:43:24;SKU-00047;1;19500,00;;CASH
R-0038180;ST-006;E-0129;25.01.2026 17:56; sku-00443 ;1;76400,00;;CASH
R-0038364;ST-011;E-0153;2026-01-25 11:09:10;SKU-00037;1;113900,00;5;CARD
R-0038149;ST-005;E-0124;25.01.2026 15:50;SKU-00195;1;37000,00;0;CARD
R-0038146;ST-005;E-0125;25.01.2026 18:47;SKU-00330;1;55100.00;10;CARD
R-0038310;ST-009;E-0145;25.01.2026 12:04;SKU-00431;2;27100,00;;CASH
R-0038222;ST-007;E-0133;25.01.2026 10:23;SKU-00178;8;59900,00;5;CASH
R-0038300;ST-009;E-0145;25.01.2026 11:04;SKU-00011;2;24500,00;0;CASH
R-0038262;ST-008;E-0140;25.01.2026 14:58;SKU-00095;1;112700,00;;TRANSFER
R-0038372;ST-011;E-0155;25.01.2026 10:01;SKU-00051;2;6500,00;10;CASH
R-0038323;ST-010;E-0148;25.01.2026 11:44;SKU-00380;1;50000,00;0;CARD
R-0038308;ST-009;E-0144;25.01.2026 11:23;SKU-00257;2;108800,00;;CASH
R-0038292;ST-009;E-0145;25.01.2026 19:30;SKU-00112;2;117300,00;;CASH
R-0038304;ST-009;E-0145;25.01.2026 19:17;SKU-00012;2;82800.00;10;CASH
R-0038373;ST-011;E-0154;2026-01-25 17:36:15;SKU-00230;1;106500,00;;CARD
R-0038356;ST-011;E-0153;25.01.2026 13:05;SKU-00469;1;51100,00;10;CASH
R-0038029;ST-001;E-0103;25.01.2026 14:51;SKU-00179;2;108100,00;;CASH
R-0038137;ST-005;E-0125;2026-01-25 15:39:39;SKU-00430;4;177700,00;10;CASH
R-0038190;ST-006;E-0129;25.01.2026 09:56;SKU-00011;1;24500,00;;CASH
R-0038263;ST-008;E-0138;25.01.2026 11:00;SKU-00438;3;149700,00;;CASH
R-0038304;ST-009;E-0145;2026-01-25 19:17:56;SKU-00497;1;38000,00;;CASH
R-0038021;ST-001;E-0104;2026-01-25 15:16:29;SKU-00324;4;;;CASH
R-0038019;ST-001;E-0103;2026-01-25 14:22:31;SKU-00215;8;34800,00;0;CARD
R-0038125;ST-004;E-0120;2026-01-25 20:05:57;SKU-00314;1;135200,00;20;CARD
R-0038203;ST-006;E-0128;25.01.2026 09:39;SKU-00362;2;35200,00;15;TRANSFER
R-0038232;ST-007;E-0133;2026-01-25 20:09:46;SKU-00238;8;58700,00;;CARD
R-0038408;ST-012;E-0159;2026-01-25 18:18:26;SKU-00183;2;11300,00;;CASH
R-0038152;ST-005;E-0123;2026-01-25 17:12:04;SKU-00075;2;70900,00;;CARD
R-0038216;ST-007;E-0134;25.01.2026 19:04;SKU-00140;4;68900,00;15;CASH
R-0038176;ST-006;E-0128;25.01.2026 20:29;SKU-00288;2;13800,00;;CARD
R-0038324;ST-010;E-0149;25.01.2026 15:15;SKU-00452;1;16200,00;;CARD
R-0038236;ST-007;E-0134;25.01.2026 15:40;SKU-00196;2;33100,00;0;CASH
R-0037998;ST-001;E-0103;25.01.2026 17:04;SKU-00467;3;63500,00;0;CARD
R-0038051;ST-002;E-0108;2026-01-25 09:25:26;SKU-00008;1;41700.00;10;CASH
R-0038260;ST-008;E-0140;2026-01-25 17:25:53;SKU-00458;1;124900,00;5;CASH
R-0038303;ST-009;E-0144;25.01.2026 13:56; sku-00243 ;2;176700,00;0;CARD
R-0038096;ST-003;E-0115;2026-01-25 09:54:13;SKU-00319;5;102500.00;;CASH
R-0038302;ST-009;E-0145;2026-01-25 13:32:42;SKU-00313;1;243040,00;;CASH
R-0038027;ST-001;E-0105;25.01.2026 09:24;SKU-00083;1;51500,00;;CASH
R-0038115;ST-004;E-0120;25.01.2026 13:40;SKU-00278;3;7500,00;5;CARD
R-0038008;ST-001;E-0104;25.01.2026 14:14;SKU-00061;2;71800,00;;TRANSFER
R-0038282;ST-009;E-0144;25.01.2026 10:40;SKU-00279;4;52200,00;5;CARD
R-0038007;ST-001;E-0104;25.01.2026 16:08;SKU-00234;2;59900,00;0;TRANSFER
R-0038213;ST-007;E-0135;2026-01-25 20:03:41;SKU-00026;3;134100,00;;CASH
R-0038107;ST-004;E-0120;25.01.2026 15:13;SKU-00103;1;144500,00;0;CASH
R-0038265;ST-008;E-0139;2026-01-25 12:53:00;SKU-00230;1;106500,00;;CASH
R-0038105;ST-003;E-0113;25.01.2026 14:46;SKU-00202;1;11500,00;20;TRANSFER
R-0038042;ST-002;E-0108;25.01.2026 11:03;SKU-00322;3;95700,00;;CARD
R-0038010;ST-001;E-0105;25.01.2026 12:45;SKU-00272;1;34900.00;;CASH
R-0038138;ST-005;E-0125;25.01.2026 15:30;SKU-00056;1;39700,00;;CASH
R-0038157;ST-005;E-0123;25.01.2026 11:12;SKU-00204;1;7800.00;15;CASH
R-0038314;ST-009;E-0144;2026-01-25 09:19:36;SKU-00089;2;79100,00;5;CASH
R-0038021;ST-001;E-0104;2026-01-25 15:16:29;SKU-00059;1;12900,00;5;CASH
R-0038057;ST-002;E-0109;2026-01-25 19:22:19;SKU-00385;3;86400,00;;CARD
R-0038143;ST-005;E-0125;25.01.2026 12:50;SKU-00026;1;134100,00;0;CASH
R-0038277;ST-008;E-0139;25.01.2026 15:11;SKU-00060;1;33200,00;0;CASH
R-0038361;ST-011;E-0154;25.01.2026 13:41;SKU-00420;1;58300,00;;CASH
R-0038080;ST-003;E-0113;2026-01-25 11:10:49;SKU-00359;1;17800,00;;CASH
R-0038217;ST-007;E-0135;25.01.2026 11:33;SKU-00206;1;16700,00;10;CASH
R-0038122;ST-004;E-0120;2026-01-25 09:16:29;SKU-00429;3;45000,00;10;CARD
R-0038196;ST-006;E-0128;25.01.2026 15:39;SKU-00172;1;78700,00;;CARD
R-0038348;ST-010;E-0150;25.01.2026 13:12;SKU-00369;1;50900,00;;CASH
R-0038259;ST-008;E-0138;2026-01-25 09:19:29;SKU-00179;1;108100,00;5;CASH
R-0038318;ST-009;E-0144;2026-01-25 15:57:10;SKU-00152;3;74000,00;5;CARD
R-0038158;ST-005;E-0124;25.01.2026 14:20;SKU-00243;1;176700,00;;CARD
R-0038132;ST-004;E-0119;25.01.2026 19:59;SKU-00055;1;25200,00;0;CARD
R-0038223;ST-007;E-0134;25.01.2026 19:28;SKU-00292;2;63500,00;5;TRANSFER
R-0038058;ST-002;E-0109;25.01.2026 16:41;SKU-00095;4;112700,00;0;CASH
R-0038039;ST-002;E-0108;25.01.2026 17:07;SKU-00082;5;115800,00;0;CARD
R-0038347;ST-010;E-0149;2026-01-25 20:26:52;SKU-00439;2;151700,00;0;CASH
R-0038170;ST-006;E-0128;25.01.2026 09:39;SKU-00341;1;63200,00;0;CASH
R-0038351;ST-010;E-0149;25.01.2026 09:32;SKU-00059;2;20640,00;;CARD
R-0038397;ST-012;E-0160;25.01.2026 14:23;SKU-00115;1;115100,00;0;CASH
R-0038206;ST-006;E-0129;2026-01-25 14:41:57;SKU-00386;1;10600,00;;CASH
R-0038378;ST-011;E-0154;25.01.2026 15:49;SKU-00165;1;62100,00;10;CASH
R-0038242;ST-007;E-0133;25.01.2026 12:36;SKU-00064;1;22200,00;5;CARD
R-0038134;ST-005;E-0125;25.01.2026 20:01;SKU-00401;3;48700,00;;CASH
R-0038224;ST-007;E-0133;2026-01-25 11:06:42;SKU-00130;1;119600,00;0;CASH
