receipt_no;store_code;cashier_id;sale_datetime;sku;qty;unit_price;discount_pct;payment_type
R-0042984;ST-012;E-0160;08.02.2026 14:36;SKU-00319;1;102500.00;;CARD
R-0042691;ST-003;E-0113;08.02.2026 09:02;SKU-00051;1;6500,00;;TRANSFER
R-0042681;ST-002;E-0110;08.02.2026 17:01;SKU-00176;1;101440,00;;CASH
R-0042941;ST-010;E-0148;2026-02-08 14:58:08;SKU-00354;4;80300,00;;TRANSFER
R-0042686;ST-003;E-0115;08.02.2026 12:12;SKU-00340;1;51400,00;0;CARD
R-0042914;ST-009;E-0144;2026-02-08 11:49:53;SKU-00380;1;50000,00;;CARD
R-0042919;ST-009;E-0144;08.02.2026 19:38;SKU-00358;1;8500,00;;TRANSFER
R-0042701;ST-003;E-0115;08.02.2026 11:38;SKU-00132;3;67900,00;;CARD
R-0042930;ST-010;E-0148;08.02.2026 09:24;SKU-00226;2;167200,00;;CASH
R-0042860;ST-008;E-0139;08.02.2026 09:15;SKU-00232;1;142200,00;;CASH
R-0042885;ST-009;E-0145;2026-02-08 12:22:55;SKU-00298;1;94200,00;5;TRANSFER
R-0042873;ST-008;E-0139;08.02.2026 11:21;SKU-00472;1;62700,00;;TRANSFER
R-0042763;ST-005;E-0123;2026-02-08 19:46:03;SKU-00487;2;39400,00;0;CASH
R-0042714;ST-004;E-0118;2026-02-08 16:26:04;SKU-00183;1;11300,00;;CARD
R-0042616;ST-001;E-0105;08.02.2026 09:24;SKU-00486;5;47900,00;;CASH
R-0042916;ST-009;E-0145;2026-02-08 12:43:03;SKU-00421;3;176800,00;;CASH
R-0042717;ST-004;E-0120;08.02.2026 16:58;SKU-00007;5;22000,00;;CARD
R-0042835;ST-007;E-0133;08.02.2026 20:08;SKU-00248;3;123000,00;;CARD
R-0042670;ST-002;E-0109;08.02.2026 10:53;SKU-00239;2;23000,00;20;CARD
R-0042983;ST-012;E-0159;2026-02-08 18:14:44;SKU-00469;4;51100,00;;CARD
R-0042957;ST-011;E-0154;08.02.2026 14:11;SKU-00351;1;131200,00;5;CARD
R-0042836;ST-007;E-0133;08.02.2026 20:04;SKU-00460;1;81800,00;0;CASH
R-0042678;ST-002;E-0109;08.02.2026 18:58;SKU-00065;2;27400,00;;CASH
R-0042626;ST-001;E-0104;2026-02-08 11:06:36;SKU-00384;1;29900,00;;CASH
R-0042685;ST-003;E-0104;08.02.2026 15:52;SKU-00443;1;76400,00;20;CASH
R-0042778;ST-005;E-0123;08.02.2026 18:41;SKU-00453;8;146200,00;20;CARD
R-0042669;ST-002;E-0108;2026-02-08 12:57:31;SKU-00125;8;83200,00;0;TRANSFER
R-0042703;ST-003;E-0113;08.02.2026 16:10;SKU-00076;1;55600,00;;CARD
R-0042793;ST-006;E-0129;2026-02-08 18:00:01;SKU-00082;1;115800,00;0;TRANSFER
R-0042978;ST-012;E-0158;08.02.2026 12:26;SKU-00006;3;47800,00;20;CASH
R-0042844;ST-007;E-0135;08.02.2026 13:09;SKU-00388;2;14300,00;0;CARD
R-0042843;ST-007;E-0133;08.02.2026 13:24;SKU-00033;2;137400,00;;CARD
R-0042910;ST-009;E-0144;08.02.2026 14:15;SKU-00267;2;96600,00;;CASH
R-0042647;ST-002;E-0110;08.02.2026 10:07;SKU-00034;1;141400,00;10;CARD
R-0042945;ST-010;E-0149;08.02.2026 17:22;SKU-00045;1;44100,00;5;CARD
R-0042960;ST-011;E-0155;08.02.2026 09:48;SKU-00375;1;61300,00;10;CASH
R-0042906;ST-009;E-0145;2026-02-08 15:27:27;SKU-00335;2;51400,00;;CASH
R-0042877;ST-008;E-0138;08.02.2026 17:39;SKU-00478;1;19800.00;;CARD
R-0042831;ST-007;E-0135;2026-02-08 17:41:57;SKU-00490;1;44400,00;;CASH
R-0042943;ST-010;E-0150;08.02.2026 12:56;SKU-00490;3;44400,00;;CARD
R-0042859;ST-008;E-0138;08.02.2026 09:34;SKU-00037;4;113900,00;;CASH
R-0042859;ST-008;E-0138;08.02.2026 09:34;SKU-00275;4;52400,00;;CASH
R-0042886;ST-009;E-0145;08.02.2026 13:19;SKU-00088;1;130200,00;;CASH
R-0042915;ST-009;E-0144;08.02.2026 18:24;SKU-00262;1;52480,00;;CASH
R-0042967;ST-011;E-0154;08.02.2026 12:03;SKU-00236;1;10800,00;10;CARD
R-0042712;ST-004;E-0119;08.02.2026 17:30;SKU-00293;8;74200,00;;CARD
R-0042628;ST-001;E-0105;08.02.2026 16:55;SKU-00425;1;88600,00;20;CARD
R-0042695;ST-003;E-0114;08.02.2026 12:14;SKU-00469;5;51100,00;;CASH
R-0042672;ST-002;E-0108;08.02.2026 13:40;SKU-00171;1;91700,00;;TRANSFER
R-0042902;ST-009;E-0145;08.02.2026 15:58;SKU-00120;2;137600,00;;CASH
R-0042723;ST-004;E-0118;08.02.2026 14:35;SKU-00100;2;126800,00;;CARD
R-0042841;ST-007;E-0135;08.02.2026 19:28;SKU-00022;1;75600.00;;CARD
R-0042927;ST-010;E-0150;08.02.2026 11:34;SKU-00223;1;28900,00;;CASH
R-0042772;ST-005;E-0124;2026-02-08 19:04:28;SKU-00099;3;108400,00;;CARD
R-0042930;ST-010;E-0148;2026-02-08 09:24:11;SKU-00100;1;126800,00;;CASH
R-0042798;ST-006;E-0129;2026-02-08 18:14:17;SKU-00500;1;20300,00;;CARD
R-0042881;ST-008;E-0140;08.02.2026 10:38;SKU-00225;1;18200,00;;CASH
R-0042836;ST-007;E-0133;08.02.2026 20:04;SKU-00042;1;220000,00;10;CASH
R-0042649;ST-002;E-0108;08.02.2026 15:52;SKU-00177;1;99700,00;;CASH
