receipt_no;store_code;cashier_id;sale_datetime_raw;sku;qty_raw;unit_price_raw;discount_raw;payment_type
REC-20260729-STORE_01-0001;STORE_01;CASH-03;2026-07-29 16:20:03;SKU-015;1;5000;1000;CARD
REC-20260729-STORE_01-0001;STORE_01;CASH-02;2026-07-29 16:20:03;SKU-018;4;5000;0;CARD
REC-20260729-STORE_01-0001;STORE_01;CASH-05;2026-07-29 16:20:03;SKU-010;2;25000;0;CARD
REC-20260729-STORE_01-0002;STORE_01;CASH-02;2026-07-29 15:39:01;SKU-002;3;12000;0;CARD
REC-20260729-STORE_01-0003;STORE_01;CASH-08;2026-07-29 14:36:58;SKU-006;1;45000;0;CASH
REC-20260729-STORE_01-0003;STORE_01;CASH-05;2026-07-29 14:36:58;SKU-036;2;45000;0;CARD
REC-20260729-STORE_01-0003;STORE_01;CASH-08;2026-07-29 14:36:58;SKU-025;3;5000;1000;CASH
REC-20260729-STORE_01-0003;STORE_01;CASH-02;2026-07-29 14:36:58;SKU-002;4;12000;500;CASH
REC-20260729-STORE_01-0004;STORE_01;CASH-07;2026-07-29 15:08:36;SKU-002;2;12000;1000;CASH
REC-20260729-STORE_01-0005;STORE_01;CASH-08;2026-07-29 19:52:29;SKU-005;3;5000;0;CASH
REC-20260729-STORE_01-0005;STORE_01;CASH-03;2026-07-29 19:52:29;SKU-018;3;5000;0;CARD
REC-20260729-STORE_01-0006;STORE_01;CASH-03;2026-07-29 14:33:42;SKU-011;3;5000;1000;CARD
REC-20260729-STORE_01-0007;STORE_01;CASH-06;2026-07-29 9:21:13;SKU-002;2;12000;500;CARD
REC-20260729-STORE_01-0008;STORE_01;CASH-10;2026-07-29 9:59:53;SKU-005;1;5000;1000;CARD
REC-20260729-STORE_01-0009;STORE_01;CASH-07;2026-07-29 18:28:23;SKU-008;2;12000;0;CASH
REC-20260729-STORE_01-0010;STORE_01;CASH-02;2026-07-29 18:47:07;SKU-001;1;45000;500;CARD
REC-20260729-STORE_01-0010;STORE_01;CASH-06;2026-07-29 18:47:07;SKU-018;3;5000;0;CASH
REC-20260729-STORE_01-0011;STORE_01;CASH-04;2026-07-29 19:33:18;SKU-017;4;12000;0;CARD
REC-20260729-STORE_01-0011;STORE_01;CASH-10;2026-07-29 19:33:18;SKU-001;2;45000;1000;CARD
REC-20260729-STORE_01-0011;STORE_01;CASH-08;2026-07-29 19:33:18;SKU-021;3;5000;0;CASH
REC-20260729-STORE_01-0011;STORE_01;CASH-10;2026-07-29 19:33:18;SKU-045;4;45000;0;CARD
REC-20260729-STORE_01-0012;STORE_01;CASH-10;2026-07-29 18:48:09;SKU-004;4;25000;0;CARD
REC-20260729-STORE_01-0012;STORE_01;CASH-04;2026-07-29 18:48:09;SKU-001;3;45000;500;CARD
REC-20260729-STORE_01-0012;STORE_01;CASH-08;2026-07-29 18:48:09;SKU-001;4;45000;0;CASH
REC-20260729-STORE_01-0012;STORE_01;CASH-10;2026-07-29 18:48:09;SKU-038;4;12000;0;CARD
REC-20260729-STORE_01-0013;STORE_01;CASH-04;2026-07-29 12:48:25;SKU-004;2;25000;1000;CASH
REC-20260729-STORE_01-0013;STORE_01;CASH-01;2026-07-29 12:48:25;SKU-002;4;12000;0;CASH
REC-20260729-STORE_01-0014;STORE_01;CASH-08;2026-07-29 15:28:42;SKU-035;1;5000;1000;CARD
REC-20260729-STORE_01-0014;STORE_01;CASH-02;2026-07-29 15:28:42;SKU-001;4;45000;0;CARD
REC-20260729-STORE_01-0014;STORE_01;CASH-06;2026-07-29 15:28:42;SKU-002;1;12000;500;CARD
REC-20260729-STORE_01-0014;STORE_01;CASH-06;2026-07-29 15:28:42;SKU-001;2;45000;500;CARD
REC-20260729-STORE_01-0014;STORE_01;CASH-09;2026-07-29 15:28:42;SKU-001;1;45000;0;CARD
REC-20260729-STORE_01-0015;STORE_01;CASH-07;2026-07-29 8:24:37;SKU-005;3;5000;0;CARD
REC-20260729-STORE_01-0015;STORE_01;CASH-06;2026-07-29 8:24:37;SKU-030;4;45000;1000;CASH
REC-20260729-STORE_01-0016;STORE_01;CASH-02;2026-07-29 12:46:19;SKU-001;3;45000;0;CARD
